Taille | Instance | Algorithme | Temps (s) | Solution | Commandes
    40 |       32 | Dijkstra   | 0.010948 | 8        | G a2 a3 a3 a3 a3 D a3
    40 |       32 | Bellman    | 0.427438 | 8        | G a2 a3 a3 a3 a3 D a3
    40 |       33 | BFS        | 0.021380 | 12       | G a3 a3 D a3 a3 a3 a3 a3 a3 a3 a3
    40 |       33 | Dijkstra   | 0.023976 | 12       | G a3 a3 D a3 a3 a3 a3 a3 a3 a3 a3
    40 |       33 | Bellman    | 0.408952 | 12       | G a3 a3 D a3 a3 a3 a3 a3 a3 a3 a3
    40 |       34 | BFS        | 0.017144 | 11       | G G a1 a3 a3 a3 a3 G a3 a3 a3
    40 |       34 | Dijkstra   | 0.024702 | 11       | D D a1 a3 a3 a3 a3 G a3 a3 a3
    40 |       34 | Bellman    | 0.573414 | 11       | D D a1 a3 a3 a3 a3 G a3 a3 a3
    40 |       35 | BFS        | 0.022982 | 13       | G G a3 D a3 a3 a3 a3 a3 a3 a3 G a3
    40 |       35 | Dijkstra   | 0.026299 | 13       | a2 G a3 a3 a3 a3 a3 a3 a3 G a3 a3 a2
    40 |       35 | Bellman    | 0.357432 | 13       | D D a3 D a3 a3 a3 a3 a3 a3 a3 G a3
    40 |       36 | BFS        | 0.025655 | 16       | G G a3 a3 a3 a3 D a3 a3 a3 a3 a3 a3 G a3 a3
    40 |       36 | Dijkstra   | 0.031558 | 16       | a2 G a3 a3 a3 a3 a3 a3 G a2 a3 a3 a3 a3 a3 a3
    40 |       36 | Bellman    | 0.352901 | 16       | D D a3 a3 a3 a3 D a3 a3 a3 a3 a3 a3 G a3 a3
    40 |       37 | BFS        | 0.003313 | 6        | a2 a3 a3 G a2 a3
    40 |       37 | Dijkstra   | 0.002857 | 6        | a3 a3 a2 G a3 a2
    40 |       37 | Bellman    | 0.522651 | 6        | a3 a3 a2 G a3 a2
    40 |       38 | BFS        | 0.030261 | 17       | a3 G a1 a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 D a3 a3 a3
    40 |       38 | Dijkstra   | 0.033358 | 17       | a3 G a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 a1 D a3 a3 a3
    40 |       38 | Bellman    | 0.480227 | 17       | a3 G a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 a1 D a3 a3 a3
    40 |       39 | BFS        | 0.022021 | 15       | G a2 a3 G a1 a3 a3 a3 a3 a3 a3 a3 a3 D a1
    40 |       39 | Dijkstra   | 0.023768 | 15       | G a2 a3 G a3 a3 a3 a3 a3 a3 a3 a3 a1 D a1
    40 |       39 | Bellman    | 0.479726 | 15       | G a2 a3 G a3 a3 a3 a3 a3 a3 a3 a3 a1 D a1
    40 |       40 | BFS        | 0.008951 | 10       | G a2 a3 D a2 a3 a3 a3 a3 a3
    40 |       40 | Dijkstra   | 0.010643 | 10       | a3 a3 G a2 a3 D a3 a3 a3 a2
    40 |       40 | Bellman    | 0.516858 | 10       | G a2 a3 D a3 a3 a3 a3 a3 a2
    50 |       41 | BFS        | 0.004073 | 6        | a1 a3 a3 G a2 a3
    50 |       41 | Dijkstra   | 0.004664 | 6        | a3 a3 a1 G a2 a3
    50 |       41 | Bellman    | 0.661825 | 6        | a3 a3 a1 G a2 a3
    50 |       42 | BFS        | 0.059797 | 23       | D a3 a3 a3 a3 a3 a3 a3 a3 a3 D a1 a3 a3 a3 a3 a3 a3 a3 G a3 a3 a3
    50 |       42 | Dijkstra   | 0.068753 | 23       | D a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 D a1 a3 a3 a3 a3 a3 a3 a3 G a3
    50 |       42 | Bellman    | 1.011737 | 23       | D a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 D a1 a3 a3 a3 a3 a3 a3 a3 G a3
    50 |       43 | BFS        | 0.003910 | 7        | G G a2 a3 a3 G a3
    50 |       43 | Dijkstra   | 0.005499 | 7        | G G a3 a3 a2 G a3
    50 |       43 | Bellman    | 1.037815 | 7        | D D a3 a3 a2 G a3
    50 |       44 | BFS        | 0.006098 | 8        | G G a3 a3 a3 D a2 a3
    50 |       44 | Dijkstra   | 0.008731 | 8        | G a3 G a3 a3 a3 D a2
    50 |       44 | Bellman    | 0.856544 | 8        | D D a3 a3 a3 D a3 a2
    50 |       45 | BFS        | 0.054739 | 26       | D a2 a3 a3 a3 D a1 a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 G a3 a3 a3 a3 a3 a3 a3
    50 |       45 | Dijkstra   | 0.064346 | 26       | D a3 D a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 a1 G a2 a3 a3 a3 a3 a3 a3 a3 a3 a3
    50 |       45 | Bellman    | 0.952644 | 26       | D a2 a3 a3 a3 a3 D a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 a3 a1 G a3 a3 a3 a3 a3 a3
    50 |       46 | BFS        | 0.011177 | 9        | D a1 a3 a3 a3 D a2 a3 a3
    50 |       46 | Dijkstra   | 0.014535 | 9        | D a1 a3 a3 a3 D a3 a3 a2
    50 |       46 | Bellman    | 0.937937 | 9        | D a1 a3 a3 a3 D a3 a3 a2
    50 |       47 | BFS        | 0.028965 | 17       | a3 a3 a3 a3 a3 a3 G a2 a3 a3 a3 a3 a3 a3 a3 a3 a3
    50 |       47 | Dijkstra   | 0.030881 | 17       | a3 a3 a3 a3 a3 a3 G a2 a3 a3 a3 a3 a3 a3 a3 a3 a3
    50 |       47 | Bellman    | 0.360981 | 17       | a3 a3 a3 a3 a3 a3 G a2 a3 a3 a3 a3 a3 a3 a3 a3 a3
    50 |       48 | BFS        | 0.032404 | 14       | G a2 a3 a3 a3 a3 a3 a3 a3 D a1 a3 a3 a3
    50 |       48 | Dijkstra   | 0.038239 | 14       | G a2 a3 a3 a3 a3 a3 a3 a3 D a3 a3 a3 a1
    50 |       48 | Bellman    | 0.646390 | 14       | G a2 a3 a3 a3 a3 a3 a3 a3 D a3 a3 a3 a1
    50 |       49 | BFS        | 0.001056 | 5        | G G a1 D a3
    50 |       49 | Dijkstra   | 0.002218 | 5        | D D a1 D a3
    50 |       49 | Bellman    | 0.920962 | 5        | D D a1 D a3
    50 |       50 | BFS        | 0.000412 | 3        | a2 D a3
    50 |       50 | Dijkstra   | 0.000200 | 3        | a2 D a3
    50 |       50 | Bellman    | 0.937147 | 3        | a2 D a3
